4月,従業員ステータス欄,,,,,,,,,,時給制（時給制従業員のみ記入。月給制はZ列に記入。）,,,,,,,,,,,,,,,,月給制,手当,,,,,,,,,,,,課税小計,,,,,交通費,,,,,,,,所得税,社会保険類,,,,,,,総合計,,,,,,
自動,,,,,,,,,,,,,自動計算,自動計算,,自動計算,自動計算,,,自動計算,自動計算,,自動計算,自動計算,自動計算,,,,,,,,,諸手当 表示,,,,自動計算,,,,自動計算,,,,,,,,自動計算,自動計算,,,,,,,,自動計算,,自動計算,,,自動計算,,,
10,W-ARAMIS,月給,深夜,清掃,バイト,橋本泰佑,21,,,taido33beevoo75@gmail.com,,,,,,,,,,,,,,,,,"180,320",,"7,000",,"12,780",,,,,"2,400",,"202,500",,,,"202,500",,,電車,738,21,,,,"212,500",,"4,840",,,,,,,テスト,"207,660",,2020年5月28日,株式会社SUK,,,
11,W-ARAMIS,月給,日勤,フロント,社員,柳澤萌,16,,,taido33beevoo75@gmail.com,,,,,,,,,,,,,,,,,"169,000",,"10,000","60,000","20,000",,,,,"4,000",,"263,000",,,,"263,000",,,電車,"1,338",16,,,"10,000","273,000",,"5,680","12,831",,"23,790",819,,"37,440",テスト,"229,880",,2020年6月26日,株式会社SUK,,,
12,W-ARAMIS,月給,隔勤,フロント,バイト,進藤哲哉,14,,,taido33beevoo75@gmail.com,,,,,,,,,,,,,,,,,"192,820",,"5,000","21,125","18,747",,,,,"1,000",,"238,692",,,,"238,692",,,徒歩,,,,,,"238,692",,"6,110",,,,,,,テスト,"232,582",,2020年6月26日,株式会社SUK,,,
13,W-ARAMIS,月給,日勤,清掃,バイト,佐々木伸明,27,,,taido33beevoo75@gmail.com,,,,,,,,,,,,,,,,,"183,362",,"8,000",,,,,,"5,000","6,000",,"202,362",,,,"202,362",,,電車,768,27,,,"10,000","212,362",,"4,840",,,,,,,テスト,"207,522",,2020年6月26日,株式会社SUK,,,
14,W-ARAMIS,時給,夜勤,清掃,バイト,竹下知宏,8, ,,taido33beevoo75@gmail.com,"1,020",27,"27,540",17.0,30,510,"28,050","1,266",8,"10,128",21,,,"10,128","38,178",,,,,,,,,,,"2,000",,"38,178",,,,"38,178",,,電車,266,8,,,"2,128","40,306",,,,,,,,,テスト,"40,306",,2020年6月26日,株式会社SUK,,,
15,W-ARAMIS,月給,深夜,清掃,バイト,橋本泰佑,21,,,taido33beevoo75@gmail.com,,,,,,,,,,,,,,,,,"191,608",,"7,000",,"28,290",,,,,"2,400",,"229,298",,,,"229,298",,,電車,738,21,,,"10,000","239,298",,"5,780",,,,,,,テスト,"233,518",,,株式会社SUK,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
1,W-CUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,新日本観光 株式会社,,,
2,W-CUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,新日本観光 株式会社,,,
3,W-CUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,新日本観光 株式会社,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,#N/A,,,,,,,,,#N/A,,,,,,,,,,#N/A,,,,,,
